iter	Passed	Remaining
0	163	163786
1	165	82627
2	166	55403
3	167	41715
4	168	33477
5	168	27970
6	169	24064
7	170	21131
8	171	18852
9	171	17025
10	172	15536
11	173	14288
12	174	13234
13	175	12344
14	176	11562
15	176	10880
16	177	10270
17	178	9719
18	178	9237
19	179	8797
20	180	8423
21	181	8063
22	182	7733
23	182	7424
24	183	7146
25	183	6888
26	184	6648
27	185	6441
28	186	6236
29	186	6043
30	187	5872
31	189	5724
32	190	5570
33	190	5426
34	191	5287
35	192	5154
36	193	5028
37	193	4906
38	194	4790
39	195	4684
40	195	4577
41	196	4478
42	196	4382
43	197	4288
44	198	4202
45	198	4117
46	199	4035
47	199	3957
48	200	3882
49	200	3812
50	201	3743
51	201	3676
52	202	3613
53	202	3553
54	203	3497
55	204	3444
56	205	3392
57	205	3340
58	206	3292
59	207	3243
60	207	3196
61	208	3150
62	208	3107
63	209	3065
64	210	3024
65	210	2984
66	211	2945
67	212	2907
68	212	2872
69	213	2835
70	214	2801
71	214	2768
72	215	2734
73	216	2704
74	216	2673
75	217	2646
76	218	2619
77	219	2589
78	219	2562
79	220	2534
80	221	2510
81	222	2486
82	222	2458
83	223	2432
84	223	2408
85	224	2384
86	225	2361
87	225	2339
88	226	2318
89	227	2296
90	227	2275
91	228	2254
92	229	2234
93	229	2216
94	230	2196
95	231	2176
96	231	2157
97	232	2140
98	233	2120
99	233	2102
100	234	2085
101	234	2068
102	235	2051
103	236	2035
104	236	2019
105	237	2003
106	238	1987
107	238	1973
108	239	1959
109	240	1949
110	241	1935
111	242	1921
112	243	1908
113	243	1894
114	244	1882
115	245	1869
116	245	1854
117	246	1841
118	246	1828
119	247	1814
120	248	1801
121	248	1788
122	249	1775
123	249	1763
124	250	1751
125	250	1739
126	251	1727
127	251	1715
128	252	1704
129	252	1692
130	253	1681
131	253	1670
132	254	1660
133	255	1649
134	255	1638
135	256	1628
136	256	1618
137	257	1608
138	258	1599
139	258	1589
140	259	1580
141	259	1569
142	260	1559
143	260	1550
144	261	1541
145	262	1533
146	262	1524
147	263	1516
148	264	1508
149	264	1500
150	265	1491
151	266	1484
152	266	1476
153	267	1469
154	268	1462
155	269	1455
156	269	1448
157	270	1442
158	271	1434
159	272	1428
160	272	1421
161	273	1414
162	273	1406
163	274	1399
164	275	1391
165	275	1384
166	276	1377
167	276	1370
168	277	1363
169	277	1356
170	278	1349
171	278	1342
172	279	1336
173	280	1330
174	280	1324
175	281	1317
176	282	1311
177	282	1305
178	283	1298
179	283	1292
180	284	1285
181	284	1279
182	285	1273
183	285	1268
184	286	1262
185	287	1256
186	287	1250
187	288	1244
188	288	1238
189	289	1232
190	289	1226
191	290	1220
192	290	1215
193	291	1209
194	291	1204
195	292	1199
196	292	1193
197	293	1188
198	293	1183
199	294	1178
200	295	1173
201	295	1167
202	296	1162
203	296	1157
204	297	1152
205	297	1147
206	298	1142
207	298	1137
208	299	1132
209	299	1127
210	300	1122
211	300	1118
212	301	1113
213	301	1108
214	302	1104
215	303	1099
216	303	1095
217	304	1090
218	304	1086
219	305	1081
220	305	1077
221	306	1073
222	306	1068
223	307	1064
224	307	1060
225	308	1055
226	308	1051
227	309	1047
228	309	1043
229	310	1039
230	311	1035
231	311	1032
232	312	1028
233	312	1024
234	313	1020
235	313	1016
236	314	1012
237	314	1008
238	315	1004
239	315	1000
240	316	996
241	316	992
242	317	989
243	317	985
244	318	981
245	318	977
246	319	974
247	320	970
248	320	966
249	321	963
250	321	959
251	322	956
252	322	952
253	323	948
254	323	945
255	324	941
256	324	938
257	325	934
258	325	931
259	326	928
260	326	924
261	327	921
262	327	918
263	328	914
264	328	911
265	329	908
266	329	905
267	330	901
268	330	898
269	331	895
270	331	892
271	332	889
272	332	886
273	333	882
274	333	879
