iter	Passed	Remaining
0	90	90518
1	91	45583
2	92	30688
3	93	23195
4	94	18797
5	95	15824
6	96	13676
7	97	12097
8	98	10855
9	99	9876
10	100	9075
11	101	8358
12	102	7767
13	103	7256
14	103	6813
15	104	6418
16	105	6091
17	106	5791
18	106	5519
19	107	5272
20	108	5048
21	109	4849
22	109	4660
23	110	4494
24	111	4343
25	111	4194
26	112	4056
27	113	3928
28	113	3809
29	114	3695
30	114	3590
31	115	3489
32	115	3398
33	116	3313
34	117	3232
35	117	3155
36	118	3080
37	118	3010
38	119	2942
39	119	2879
40	120	2819
41	121	2761
42	121	2705
43	122	2652
44	122	2603
45	123	2558
46	123	2510
47	124	2466
48	124	2423
49	125	2383
50	125	2343
51	126	2304
52	126	2267
53	127	2232
54	127	2197
55	128	2167
56	129	2136
57	129	2106
58	130	2076
59	130	2046
60	131	2019
61	131	1992
62	132	1965
63	132	1940
64	133	1915
65	133	1890
66	134	1867
67	134	1846
68	135	1825
69	135	1803
70	136	1782
71	136	1761
72	137	1741
73	137	1722
74	138	1702
75	138	1684
76	138	1666
77	139	1648
78	139	1631
79	140	1616
80	141	1603
81	141	1588
82	142	1570
83	142	1555
84	143	1541
85	143	1526
86	144	1512
87	144	1498
88	145	1484
89	145	1471
90	146	1458
91	146	1446
92	147	1435
93	147	1424
94	148	1413
95	148	1401
96	149	1390
97	149	1378
98	150	1367
99	150	1356
100	151	1345
101	151	1335
102	152	1324
103	152	1314
104	153	1306
105	153	1297
106	154	1289
107	154	1279
108	155	1270
109	155	1262
110	156	1253
111	156	1244
112	157	1235
113	157	1227
114	158	1218
115	158	1211
116	159	1202
117	159	1195
118	160	1188
119	161	1180
120	161	1173
121	162	1165
122	162	1158
123	163	1151
124	163	1145
125	164	1139
126	164	1132
127	165	1126
128	166	1121
129	166	1115
130	167	1109
131	167	1103
132	168	1098
133	168	1091
134	169	1085
135	169	1079
136	170	1073
137	170	1067
138	171	1062
139	172	1058
140	172	1053
141	173	1046
142	173	1040
143	174	1035
144	174	1029
145	175	1024
146	175	1018
147	176	1013
148	176	1008
149	177	1003
150	177	998
151	178	994
152	178	989
153	179	984
154	179	979
155	180	975
156	180	970
157	181	965
158	181	961
159	182	956
160	182	951
161	182	946
162	183	941
163	184	938
164	184	934
165	185	930
166	185	926
167	186	922
168	186	919
169	187	915
170	188	912
171	188	909
172	189	905
173	190	902
174	190	899
175	191	896
176	192	892
177	192	889
178	193	885
179	193	882
180	194	879
181	194	875
182	195	871
183	195	868
184	196	865
185	197	862
186	197	859
187	198	856
188	198	853
189	199	850
190	200	847
191	200	844
192	201	841
193	201	838
194	202	834
195	202	832
196	203	829
197	203	826
198	204	822
199	204	819
200	205	816
201	205	813
202	206	810
203	206	807
204	207	804
205	207	801
206	208	798
